ShorState,State,2020_Un_Male,2020_Un_Female,2019_Un_Male,2019_Un_Female,2018_Un_Male,2018_Un_Female,2017_Un_Male,2017_Un_Female,2016_Un_Male,2016_Un_Female,2015_Un_Male,2015_Un_Female,2020_Empl_Male,2020_Empl_Female,2019_Empl_Male,2019_Empl_Female,2018_Empl_Male,2018_Empl_Female,2017_Empl_Male,2017_Empl_Female,2016_Empl_Male,2016_Empl_Female,2015_Empl_Male,2015_Empl_Female,2020_NILF_Male,2020_NILF_Female,2019_NILF_Male,2019_NILF_Female,2018_NILF_Male,2018_NILF_Female,2017_NILF_Male,2017_NILF_Female,2016_NILF_Male,2016_NILF_Female,2015_NILF_Male,2015_NILF_Female
AL,Alabama,65000,68000,69000,64000,77000,71000,85000,81000,93000,92000,104000,104000,1098000,1001000,1088000,1002000,1078000,990000,1072000,979000,1070000,971000,1060000,959000,,,697000,976000,696000,972000,686000,963000,675000,952000,663000,945000
AK,Alaska,15000,11000,16000,11000,17000,11000,18000,11000,19000,11000,19000,11000,166000,151000,186000,160000,189000,163000,191000,163000,190000,163000,190000,164000,,,82000,98000,79000,96000,77000,95000,76000,94000,74000,91000
AZ,Arizona,133000,144000,104000,91000,113000,97000,121000,104000,134000,115000,149000,124000,1771000,1536000,1666000,1461000,1625000,1417000,1577000,1372000,1534000,1341000,1497000,1313000,,,979000,1280000,961000,1265000,940000,1239000,928000,1221000,907000,1200000
AR,Arkansas,42000,43000,38000,33000,40000,36000,45000,40000,51000,43000,58000,48000,672000,601000,681000,623000,680000,613000,672000,607000,667000,600000,662000,594000,,,430000,565000,425000,566000,421000,563000,414000,561000,408000,556000
CA,California,982000,938000,633000,558000,698000,613000,790000,685000,890000,773000,1015000,863000,9305000,7583000,10049000,8541000,9905000,8398000,9738000,8252000,9520000,8062000,9324000,7920000,,,4643000,6729000,4631000,6735000,4603000,6716000,4543000,6645000,4488000,6570000
CO,Colorado,119000,111000,73000,59000,78000,62000,85000,69000,94000,78000,107000,88000,1588000,1310000,1557000,1347000,1519000,1318000,1476000,1283000,1440000,1251000,1404000,1223000,,,591000,829000,580000,818000,570000,804000,556000,792000,540000,773000
CT,Connecticut,81000,64000,62000,55000,67000,59000,77000,65000,86000,71000,95000,78000,901000,822000,932000,883000,929000,878000,927000,876000,922000,871000,915000,866000,,,411000,575000,407000,576000,401000,573000,390000,564000,383000,561000
DE,Delaware,21000,17000,13000,12000,14000,13000,16000,14000,18000,16000,20000,17000,233000,214000,231000,222000,227000,221000,222000,218000,220000,217000,217000,214000,,,126000,169000,125000,166000,124000,165000,119000,161000,116000,158000
DC,District of Columbia,14000,18000,13000,14000,14000,15000,15000,15000,16000,17000,19000,18000,183000,191000,181000,195000,178000,191000,174000,185000,169000,180000,164000,175000,,,74000,98000,74000,98000,73000,100000,72000,98000,70000,98000
FL,Florida,406000,394000,291000,272000,321000,300000,363000,334000,421000,381000,487000,427000,4954000,4317000,4946000,4542000,4830000,4422000,4702000,4309000,4559000,4198000,4431000,4114000,,,3046000,4049000,3003000,4004000,2948000,3938000,2878000,3849000,2815000,3753000
