Month,Total nonfarm,Mining and logging,Construction,Manufacturing,"Trade, transportation, and utilities",Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government
Aug-21,2.9,1.6,2.7,2.5,3.7,1.6,1.3,3.4,2.4,6.4,2.4,0.8
Jul-21,2.7,1.5,2.7,2.4,3.5,1.8,1.5,3.3,2.5,5.3,2.5,0.7
Jun-21,2.7,1.9,2.5,2.5,3.3,1.8,1.4,3.3,2.3,5.2,2.3,0.7
May-21,2.5,1.7,2.1,2,3.1,1.6,1.4,3,2.2,5.3,2.6,0.7
Apr-21,2.8,1.9,2.4,2.3,3.5,1.9,1.6,3.7,2.4,5.3,2.3,0.8
Mar-21,2.5,1.5,2.7,2.1,2.9,2.1,1.4,2.9,2.2,5.1,2.3,0.8
Feb-21,2.4,2.1,2.3,2.1,2.8,1.5,1.5,2.9,2,4.6,2.4,0.9
Jan-21,2.3,1.3,1.9,2.1,2.8,1.4,1.7,2.8,2,4.9,2.1,0.8
Dec-20,2.4,1.6,2.2,2,3,1.5,1.2,2.8,2,5.2,2.1,0.9
Nov-20,2.3,2,2.2,1.9,2.8,1.5,1.4,2.9,1.9,4.6,2.3,0.9
Oct-20,2.4,1.4,1.8,1.9,2.8,1.5,1.5,3,2.2,4.4,2,1.1
Sep-20,2.3,1.3,2,2.1,2.7,1.3,1.3,3.3,2,4.5,2.1,0.9
Aug-20,2.1,1.1,1.3,1.9,2.7,1.4,1.5,2.7,1.9,3.9,1.1,1
Jul-20,2.3,1.7,2,1.6,2.9,1.4,1.1,2.9,2.1,4,2.3,1.1
Jun-20,1.9,1.4,1.9,1.7,2.4,1.2,1.1,2.1,1.9,3.6,1.8,0.9
May-20,1.7,1.1,1.4,1.2,2,2,1,2.2,1.5,3.5,0.7,0.9
Apr-20,1.6,0.9,1.4,1,1.8,1.5,0.8,2.3,1.8,3.6,1,0.8
Mar-20,1.9,1.3,1.8,1.2,2.2,1.5,1.2,2.7,1.9,3.2,1,1
Feb-20,2.2,1.9,2,1.5,2.8,1.8,1.5,2.9,2,4.1,2.1,0.8
Jan-20,2.3,2,2.1,1.5,3,1.2,1.5,3.2,2,4.4,1.6,0.8
Dec-19,2.3,1.8,2.2,1.6,2.6,1.4,1.5,3,2,4.5,2.4,0.8
Nov-19,2.3,2,2.2,1.5,2.9,1.5,1.8,2.9,1.8,4.4,2.2,0.8
Oct-19,2.3,1.7,2.4,1.6,2.3,1.6,1.5,2.9,1.9,4.6,3,0.8
Sep-19,2.3,1.5,2.4,1.7,2.7,1.4,1.5,3,1.8,4.4,2.1,0.8
Aug-19,2.4,1.9,2.3,1.6,2.8,1.6,1.6,3,2,4.9,1.9,0.8
Jul-19,2.4,1.9,2.3,1.5,2.8,1.3,1.5,3.2,2,4.8,2.6,0.8
Jun-19,2.3,1.8,2.5,1.6,2.7,1.5,1.5,3,1.8,4.8,2.2,0.9
May-19,2.3,1.9,2.2,1.6,2.8,1.8,1.5,3,1.7,4.6,2.5,0.9
Apr-19,2.3,2.4,1.9,1.8,2.7,1.9,1.5,3.1,1.9,4.6,2.4,0.8
Mar-19,2.3,2.9,2,1.7,2.7,1.7,1.2,3.3,2,4.5,2.2,0.8
Feb-19,2.4,2.7,2.7,1.6,2.7,1.7,1.2,3.1,2,4.7,2.1,0.8
Jan-19,2.3,2.3,2.6,1.7,2.5,2,1.2,3.1,2,4.6,2.4,0.9
Dec-18,2.3,2.8,2.4,1.5,2.6,1.5,1.5,3,2,4.2,1.8,0.8
Nov-18,2.3,2.5,2.4,1.7,2.6,1.9,1.3,3,2,4.3,2.6,0.8
Oct-18,2.3,2.6,2.3,1.6,2.7,1.5,1.2,3.1,2,4.4,2.3,0.8
Sep-18,2.3,3,2.2,1.6,2.8,1.6,1.5,2.9,1.8,4.6,2.5,0.8
Aug-18,2.3,2.8,2.5,1.7,2.7,1.6,1.6,2.9,2,4.5,2.2,0.8
Jul-18,2.3,2.9,2.7,1.8,2.6,1.7,1.5,3,1.9,4.4,2,0.8
Jun-18,2.3,2.8,2.5,1.7,2.6,1.8,1.4,3.1,1.9,4.2,1.7,0.9
May-18,2.3,3.1,2.3,1.6,2.6,1.8,1.3,3.1,2.1,4.3,2.1,0.8
