Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Mining and logging,1.6,1.5,1.9,1.7,1.9,1.5,2.1,1.3,1.6,2,1.4,1.3,1.1,1.7,1.4,1.1,0.9,1.3,1.9,2,1.8,2,1.7,1.5,1.9,1.9,1.8,1.9,2.4,2.9,2.7,2.3,2.8,2.5,2.6,3,2.8,2.9,2.8,3.1,3,2.6,2.8,2.9,2.4,2.2,2.8,2.5,1.8,2.5,2.2,2.1,1.3,1.9,2,1.9,1.9,2.1,2,2.2,2
Construction,2.7,2.7,2.5,2.1,2.4,2.7,2.3,1.9,2.2,2.2,1.8,2,1.3,2,1.9,1.4,1.4,1.8,2,2.1,2.2,2.2,2.4,2.4,2.3,2.3,2.5,2.2,1.9,2,2.7,2.6,2.4,2.4,2.3,2.2,2.5,2.7,2.5,2.3,2.4,2.2,2.2,2.2,2.1,1.9,2.5,2.4,2.2,2.1,2,2.2,2.3,2.4,2.3,2.2,2,2.2,1.9,1.6,2.2
Manufacturing,2.5,2.4,2.5,2,2.3,2.1,2.1,2.1,2,1.9,1.9,2.1,1.9,1.6,1.7,1.2,1,1.2,1.5,1.5,1.6,1.5,1.6,1.7,1.6,1.5,1.6,1.6,1.8,1.7,1.6,1.7,1.5,1.7,1.6,1.6,1.7,1.8,1.7,1.6,1.6,1.7,1.7,1.6,1.6,1.5,1.6,1.5,1.5,1.6,1.6,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.2,1.2
"Trade, transportation, and utilities",3.7,3.5,3.3,3.1,3.5,2.9,2.8,2.8,3,2.8,2.8,2.7,2.7,2.9,2.4,2,1.8,2.2,2.8,3,2.6,2.9,2.3,2.7,2.8,2.8,2.7,2.8,2.7,2.7,2.7,2.5,2.6,2.6,2.7,2.8,2.7,2.6,2.6,2.6,2.5,2.4,2.3,2.4,2.5,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.2,2.5,2.5,2.4,2.2,2.4,2.4,2.5,2.4
Information,1.6,1.8,1.8,1.6,1.9,2.1,1.5,1.4,1.5,1.5,1.5,1.3,1.4,1.4,1.2,2,1.5,1.5,1.8,1.2,1.4,1.5,1.6,1.4,1.6,1.3,1.5,1.8,1.9,1.7,1.7,2,1.5,1.9,1.5,1.6,1.6,1.7,1.8,1.8,1.6,1.6,1.8,1.6,1.8,1.6,1.5,1.8,1.6,1.8,1.3,1,1.3,1.4,2,1.3,1.8,1.3,1.4,1.7,1.3
Financial activities,1.3,1.5,1.4,1.4,1.6,1.4,1.5,1.7,1.2,1.4,1.5,1.3,1.5,1.1,1.1,1,0.8,1.2,1.5,1.5,1.5,1.8,1.5,1.5,1.6,1.5,1.5,1.5,1.5,1.2,1.2,1.2,1.5,1.3,1.2,1.5,1.6,1.5,1.4,1.3,1.1,1.3,1.4,1.4,1.5,1.4,1.5,1.3,1.2,1.3,1.3,1.5,1.3,1.3,1.2,1.5,1.1,1.1,1.2,1.1,1
Professional and business services,3.4,3.3,3.3,3,3.7,2.9,2.9,2.8,2.8,2.9,3,3.3,2.7,2.9,2.1,2.2,2.3,2.7,2.9,3.2,3,2.9,2.9,3,3,3.2,3,3,3.1,3.3,3.1,3.1,3,3,3.1,2.9,2.9,3,3.1,3.1,3.3,3.1,3.1,2.7,3,3.3,3.1,3.2,3.2,2.9,3,2.9,2.8,2.9,2.8,3.1,3,2.9,3,3.1,3
Education and health services,2.4,2.5,2.3,2.2,2.4,2.2,2,2,2,1.9,2.2,2,1.9,2.1,1.9,1.5,1.8,1.9,2,2,2,1.8,1.9,1.8,2,2,1.8,1.7,1.9,2,2,2,2,2,2,1.8,2,1.9,1.9,2.1,1.9,1.8,1.7,1.6,1.7,1.7,1.8,1.7,1.7,1.7,1.9,1.8,1.8,1.8,1.7,1.9,1.7,1.6,1.7,1.8,1.7
Leisure and hospitality,6.4,5.3,5.2,5.3,5.3,5.1,4.6,4.9,5.2,4.6,4.4,4.5,3.9,4,3.6,3.5,3.6,3.2,4.1,4.4,4.5,4.4,4.6,4.4,4.9,4.8,4.8,4.6,4.6,4.5,4.7,4.6,4.2,4.3,4.4,4.6,4.5,4.4,4.2,4.3,4.4,4.3,4.3,3.8,4.1,4.1,3.9,4,3.8,3.8,4.1,4.1,4.1,4.1,4,4.1,4.2,4.3,4.4,4.3,4.1
Other services,2.4,2.5,2.3,2.6,2.3,2.3,2.4,2.1,2.1,2.3,2,2.1,1.1,2.3,1.8,0.7,1,1,2.1,1.6,2.4,2.2,3,2.1,1.9,2.6,2.2,2.5,2.4,2.2,2.1,2.4,1.8,2.6,2.3,2.5,2.2,2,1.7,2.1,2.1,2.8,2,1.9,1.9,1.7,1.9,2.2,2.4,2.4,2.4,2.1,2.1,1.9,2.2,2.1,2,1.9,2,1.7,1.6
Government,0.8,0.7,0.7,0.7,0.8,0.8,0.9,0.8,0.9,0.9,1.1,0.9,1,1.1,0.9,0.9,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8
