Month,tnonfarm,MineLog,Constrct,ManFact,Trad tranutil,Info,Finnc,Prof_Busn,Educ_Hlth,Leishospt,Os,Gov
Jan-01,2.4,1.7,2.4,1.7,2.8,2.7,2.1,3.4,1.9,5.6,1.4,0.8
Feb-01,2.3,1.3,2.6,1.5,2.9,1.8,1.9,2.6,2.1,4.6,2.7,0.8
Mar-01,2.3,1.7,2.9,1.4,2.8,1.8,2,3,2.1,4.7,1.9,0.8
Apr-01,2.4,1.7,2.9,1.4,2.9,2.7,1.6,3.4,2,5,2.1,0.6
May-01,2.3,1.8,2.6,1.2,2.8,2.2,1.3,3.1,1.9,4.8,1.8,0.9
Jun-01,2.2,2.1,2.5,1.2,2.8,2,1.6,3,1.9,4.6,1.4,0.6
Jul-01,2.2,1.9,2.7,1,2.7,2.4,2,3.1,1.8,4.6,2,0.8
Aug-01,2.2,2.2,2.4,1.1,2.6,2.2,1.7,3,1.8,4.9,2.5,0.8
Sep-01,2.1,1.9,2.3,1.1,2.5,1.7,1.4,2.7,1.9,4.7,2.2,0.6
Oct-01,2.1,2.5,2.4,1.2,2.7,2.1,1.4,2.8,1.7,4.5,2.5,0.7
Nov-01,2,1.6,2.6,1.1,2.4,1.9,1.4,2.4,1.8,3.9,2.2,0.7
Dec-01,2,0.9,2.1,1,2.5,2,1.1,2.5,1.8,4,2.4,0.8
Jan-02,2.2,1.8,2.5,1.1,2.7,1.8,1.7,3.3,1.7,4.5,2,0.7
Feb-02,2,2.2,2.4,1.3,2.2,1.7,1.4,2.5,1.6,4.4,2.1,0.8
Mar-02,1.9,1.2,2.2,1.2,2.2,1.8,1.5,2.6,1.4,4.5,1.8,0.6
Apr-02,2,0.7,2.5,1.3,2.3,1.5,1.8,2.6,1.7,4.4,1.9,0.7
May-02,1.9,1.5,2.4,1.3,2,1.5,1.3,2.8,1.7,4.3,2.4,0.6
Jun-02,1.9,1.6,1.9,1.3,2.5,1.6,1.3,2.3,1.6,4.1,2.3,0.7
Jul-02,2,1.3,2.6,1.3,2.2,1.7,1.5,2.6,1.7,4.1,2.1,0.7
Aug-02,2,1.7,2.4,1.3,2.2,1.6,1.4,2.7,1.7,4,2.1,0.7
Sep-02,1.9,1.6,2.5,1.3,2.2,2,1.4,2.5,1.5,4.1,2.2,0.7
Oct-02,1.9,1.2,2.2,1.1,2.1,1.3,1.3,2.5,1.7,3.8,2.2,0.7
Nov-02,1.8,1.4,1.9,1.2,2.2,1.7,1.4,2.6,1.5,3.6,2,0.7
Dec-02,1.9,1.5,2.1,1.1,2.1,2,1.5,2.8,1.7,3.9,2.2,0.7
Jan-03,1.9,1.3,2.2,1.2,2,1.9,1.4,2.5,1.7,3.9,2.4,0.7
Feb-03,1.9,1.6,2.2,1.2,2.2,1.6,1.6,2.4,1.6,4.1,2.1,0.6
Mar-03,1.8,1.8,2.1,1,2.3,1.5,1.4,2.4,1.5,3.9,2.3,0.6
Apr-03,1.8,1.6,1.5,1.1,2,1.5,1.9,2.3,1.4,3.9,2,0.6
May-03,1.8,1.5,2.3,1.2,2.1,1.8,1.3,2,1.5,3.7,1.9,0.7
Jun-03,1.8,1.2,2.4,1.1,2.1,1.5,1.3,2.2,1.6,4,1.6,0.6
Jul-03,1.7,1.7,2.3,1.2,2.1,1.4,1.1,2,1.4,3.8,2,0.7
Aug-03,1.7,1.4,2.1,1.1,1.9,1.5,1.4,1.9,1.5,3.5,1.8,0.7
Sep-03,1.8,1.3,2.2,1.2,2.2,1.4,1.4,2.2,1.8,3.3,2.3,0.6
Oct-03,1.9,1.4,2.2,1.3,2.3,1.8,1.4,2.1,1.6,4,1.8,0.6
Nov-03,1.8,1.6,2.4,1.2,2.1,1.4,1.4,2.1,1.6,4,2.6,0.6
Dec-03,1.9,1.5,2.7,1.3,2.2,1.3,1.4,2.1,1.6,3.8,2.2,0.7
Jan-04,1.8,1.1,2.3,1.3,2.2,1,1.4,1.9,1.7,3.5,2.4,0.6
Feb-04,1.9,1.7,2.4,1.3,2.2,1.6,1.5,2.1,1.6,3.9,2.3,0.7
Mar-04,2,1.2,2.5,1.3,2.4,1.5,1.4,2.4,1.6,4.2,2.5,0.7
Apr-04,1.9,1.7,2.5,1.3,2.3,1.6,1.7,2,1.7,3.9,2.4,0.7
May-04,1.8,1.1,2.2,1.2,2.1,1.1,1.8,1.9,1.6,4.2,2.4,0.7
