Month,MineLog,Constrct,ManFact,Trad tranutil,Info,Finnc,Prof_Busn,Educ_Hlth,Leishospt,Os,Gov
1,1.7,2.4,1.7,2.8,2.7,2.1,3.4,1.9,5.6,1.4,0.8
2,1.3,2.6,1.5,2.9,1.8,1.9,2.6,2.1,4.6,2.7,0.8
3,1.7,2.9,1.4,2.8,1.8,2,3,2.1,4.7,1.9,0.8
4,1.7,2.9,1.4,2.9,2.7,1.6,3.4,2,5,2.1,0.6
5,1.8,2.6,1.2,2.8,2.2,1.3,3.1,1.9,4.8,1.8,0.9
6,2.1,2.5,1.2,2.8,2,1.6,3,1.9,4.6,1.4,0.6
7,1.9,2.7,1,2.7,2.4,2,3.1,1.8,4.6,2,0.8
8,2.2,2.4,1.1,2.6,2.2,1.7,3,1.8,4.9,2.5,0.8
9,1.9,2.3,1.1,2.5,1.7,1.4,2.7,1.9,4.7,2.2,0.6
10,2.5,2.4,1.2,2.7,2.1,1.4,2.8,1.7,4.5,2.5,0.7
11,1.6,2.6,1.1,2.4,1.9,1.4,2.4,1.8,3.9,2.2,0.7
12,0.9,2.1,1,2.5,2,1.1,2.5,1.8,4,2.4,0.8
13,1.8,2.5,1.1,2.7,1.8,1.7,3.3,1.7,4.5,2,0.7
14,2.2,2.4,1.3,2.2,1.7,1.4,2.5,1.6,4.4,2.1,0.8
15,1.2,2.2,1.2,2.2,1.8,1.5,2.6,1.4,4.5,1.8,0.6
16,0.7,2.5,1.3,2.3,1.5,1.8,2.6,1.7,4.4,1.9,0.7
17,1.5,2.4,1.3,2,1.5,1.3,2.8,1.7,4.3,2.4,0.6
18,1.6,1.9,1.3,2.5,1.6,1.3,2.3,1.6,4.1,2.3,0.7
19,1.3,2.6,1.3,2.2,1.7,1.5,2.6,1.7,4.1,2.1,0.7
20,1.7,2.4,1.3,2.2,1.6,1.4,2.7,1.7,4,2.1,0.7
21,1.6,2.5,1.3,2.2,2,1.4,2.5,1.5,4.1,2.2,0.7
22,1.2,2.2,1.1,2.1,1.3,1.3,2.5,1.7,3.8,2.2,0.7
23,1.4,1.9,1.2,2.2,1.7,1.4,2.6,1.5,3.6,2,0.7
24,1.5,2.1,1.1,2.1,2,1.5,2.8,1.7,3.9,2.2,0.7
25,1.3,2.2,1.2,2,1.9,1.4,2.5,1.7,3.9,2.4,0.7
26,1.6,2.2,1.2,2.2,1.6,1.6,2.4,1.6,4.1,2.1,0.6
27,1.8,2.1,1,2.3,1.5,1.4,2.4,1.5,3.9,2.3,0.6
28,1.6,1.5,1.1,2,1.5,1.9,2.3,1.4,3.9,2,0.6
29,1.5,2.3,1.2,2.1,1.8,1.3,2,1.5,3.7,1.9,0.7
30,1.2,2.4,1.1,2.1,1.5,1.3,2.2,1.6,4,1.6,0.6
31,1.7,2.3,1.2,2.1,1.4,1.1,2,1.4,3.8,2,0.7
32,1.4,2.1,1.1,1.9,1.5,1.4,1.9,1.5,3.5,1.8,0.7
33,1.3,2.2,1.2,2.2,1.4,1.4,2.2,1.8,3.3,2.3,0.6
34,1.4,2.2,1.3,2.3,1.8,1.4,2.1,1.6,4,1.8,0.6
35,1.6,2.4,1.2,2.1,1.4,1.4,2.1,1.6,4,2.6,0.6
36,1.5,2.7,1.3,2.2,1.3,1.4,2.1,1.6,3.8,2.2,0.7
37,1.1,2.3,1.3,2.2,1,1.4,1.9,1.7,3.5,2.4,0.6
38,1.7,2.4,1.3,2.2,1.6,1.5,2.1,1.6,3.9,2.3,0.7
39,1.2,2.5,1.3,2.4,1.5,1.4,2.4,1.6,4.2,2.5,0.7
40,1.7,2.5,1.3,2.3,1.6,1.7,2,1.7,3.9,2.4,0.7
41,1.1,2.2,1.2,2.1,1.1,1.8,1.9,1.6,4.2,2.4,0.7
42,1.7,2.8,1.3,2.4,1.6,1.9,2.5,1.6,4,2.5,0.7
43,1.7,2.1,1.3,2.4,1.3,2,2.3,1.7,4,2.3,0.6
44,1.2,2.2,1.2,2.5,2.1,1.5,2.3,1.6,4.1,2.2,0.6
45,1.8,2.4,1.3,2.3,1.2,1.6,2.4,1.5,3.9,2.1,0.6
46,2.4,2.4,1.2,2.4,1.1,1.8,2.1,1.5,3.9,2.7,0.6
47,1.7,2.5,1.5,2.6,1.7,1.6,2.6,1.7,4.3,2.2,0.6
48,1.7,2.2,1.4,2.3,1.5,1.5,2.5,1.6,4.4,3,0.7
49,2.1,2.7,1.3,2.5,1.8,1.7,2.5,1.6,4.3,2.4,0.7
50,1.4,2.4,1.3,2.3,1.7,1.4,2.5,1.7,4.1,2.6,0.7
51,1.9,2.6,1.4,2.5,1.9,1.6,2.6,1.8,4.1,2.4,0.7
52,1.7,2.2,1.3,2.4,1.8,1.4,2.7,1.8,4.2,2.8,0.7
53,1.9,2.5,1.2,2.5,1.7,1.7,2.6,1.6,4.2,2.5,0.7
54,1.6,2.2,1.4,2.5,1.7,1.7,2.6,1.7,4,2.4,0.7
55,1.8,2.6,1.4,2.5,0.9,1.4,2.2,1.7,4.6,2.8,0.6
56,1.1,3,1.3,2.8,1.8,1.6,2.5,1.7,4.6,2.6,0.7
57,1.2,3.3,1.5,2.6,2,1.6,2.8,1.8,4.9,2.5,0.7
58,1.4,3,1.5,2.5,2,1.3,2.1,1.7,5,2.2,0.8
59,1.7,2.8,1.4,2.5,1.8,1.6,2.5,1.7,4.5,2.9,0.7
60,1.4,3.1,1.3,2.7,1.8,1.5,2.5,1.6,4.3,2,0.7
61,1.6,2.7,1.3,2.6,1.7,1.7,2.9,1.5,4.7,2,0.8
62,1.5,2.4,1.4,2.6,1.9,1.9,2.9,1.7,4.6,2,0.8
63,1.7,2.6,1.4,2.6,1.7,1.7,2.7,1.6,4.4,2.6,0.8
64,1.5,2.7,1.3,2.6,1.8,1.4,2.8,1.6,3.8,1.4,0.7
65,1.6,2.7,1.6,2.6,2.1,1.5,2.8,1.8,4.4,1.8,0.8
66,1.1,2.7,1.3,2.6,2,1.7,2.7,1.9,4.9,2.2,0.8
67,1.5,2.4,1.5,2.6,2.1,1.9,3.1,1.8,4.4,2.1,0.8
68,2.1,2.3,1.4,2.7,1.8,1.7,3,1.8,4.5,2.2,0.8
69,2.3,2,1.3,2.5,2.1,1.9,2.9,1.7,4.4,1.7,0.7
70,1.8,2.1,1.4,2.4,1.8,2,3.2,1.8,4.5,1.9,0.7
71,1.6,2.1,1.7,2.7,1.8,1.9,2.9,1.7,4.5,2,0.7
72,1.7,2.2,1.7,2.5,1.6,1.8,3,1.8,4.6,1.7,0.7
73,1.6,2,1.6,2.4,1.5,2,2.9,1.7,4.4,2.2,0.8
74,1.8,1.9,1.5,2.6,1.5,1.8,2.9,1.8,4.4,2,0.7
75,1.9,2,1.5,2.5,1.7,2,3,1.6,4.5,2.1,0.8
76,1.8,2,1.5,2.4,1.8,1.9,2.7,1.7,4.6,1.8,0.8
77,2.6,2.1,1.5,2.5,1.4,2,3.1,1.8,4.1,2.1,0.8
78,2.1,1.9,1.4,2.5,1.6,1.6,2.7,1.6,4.7,1.9,0.7
79,2.1,2.9,1.3,2.3,1,1.6,2.9,1.7,4.7,2.1,0.8
80,2.2,2.3,1.5,2.4,1.5,2,3.2,1.7,4.5,2,0.8
81,2.7,2.1,1.4,2.4,1.4,1.7,2.8,1.5,3.3,2.2,0.7
82,1.7,2.2,1.5,2.5,1.3,1.7,2.8,1.6,4.6,2.2,0.7
83,1.9,2.1,1.4,2.2,1.5,1.6,2.8,1.7,4.4,1.8,0.7
84,1.8,1.9,1.5,2.5,1.5,1.4,2.4,1.5,4.4,2.3,0.7
85,2.3,1.9,1.4,2.4,1.6,2,2.5,1.7,4.3,2,0.7
86,2,2.1,1.4,2.3,1.6,1.9,3.2,1.6,4.1,1.9,0.7
87,1.7,1.7,1.4,2.2,1.2,1.6,2.6,1.7,4.1,1.9,0.6
88,1.9,2.2,1.4,2.4,1.3,1.6,2.9,1.8,4.1,2.1,0.7
89,2,1.8,1.2,2.3,1.2,1.5,2.5,1.4,4.3,2.1,0.6
90,2.3,1.9,1.2,2.1,1.1,1.4,2.8,1.5,4.1,2.1,0.6
91,1.6,2.7,1,2.1,1.1,1.2,2.4,1.5,3.9,1.7,0.6
92,1.8,2.3,1,2.2,1.3,1.2,2.2,1.5,3.7,1.8,0.7
93,1.9,1.7,1.1,2.2,1,1.5,2.4,1.5,3.9,1.8,0.6
94,2.8,1.6,1.1,2,1.2,1.3,2.3,1.5,3.7,1.6,0.6
95,1.8,1.5,0.9,1.9,1,1.3,2.3,1.3,3.4,1.5,0.5
96,1.9,1.4,0.8,2,1,0.9,2,1.3,3.2,1.9,0.6
97,1.6,1.3,0.9,1.8,1.1,0.9,2,1.3,3.1,1.6,0.5
98,1.4,1.5,0.8,1.6,1,1,1.8,1.3,3.2,2.7,0.5
99,1.5,1.5,0.7,1.7,1.3,1,1.7,1.2,2.9,1.5,0.5
100,1.2,1,0.6,1.5,1.2,0.9,1.7,1.2,2.8,1.9,0.5
101,0.9,1.3,0.7,1.4,1.4,0.8,1.8,1.2,2.6,1.4,0.5
102,0.9,1.3,0.7,1.5,1.1,0.7,1.7,1.3,2.7,1.5,0.4
103,0.6,1.1,0.8,1.6,1.2,0.9,1.6,1.2,2.6,1.4,0.5
104,0.9,0.7,0.7,1.4,1,0.8,1.5,1.2,2.6,1.1,0.4
105,0.7,1.3,0.8,1.5,0.9,0.8,1.6,1.3,2.3,1.6,0.4
106,1,1.1,0.7,1.5,0.9,1,1.6,1.3,2.5,1.4,0.4
