sample,MineLog,Constrct,ManFact,Trade_trans_util,Info,Finnc,Prof_Busn,Educ_Hlth,Leishospt,OS,Gov
1,2,2.2,1.2,2.4,1.3,1,3,1.7,4.1,1.6,0.8
2,2.2,1.6,1.2,2.5,1.7,1.1,3.1,1.8,4.3,1.7,0.8
3,2,1.9,1.3,2.4,1.4,1.2,3,1.7,4.4,2,0.8
4,2.1,2.2,1.3,2.4,1.3,1.1,2.9,1.6,4.3,1.9,0.7
5,1.9,2,1.3,2.2,1.8,1.1,3,1.7,4.2,2,0.7
6,1.9,2.2,1.4,2.4,1.3,1.5,3.1,1.9,4.1,2.1,0.8
7,2,2.3,1.4,2.5,2,1.2,2.8,1.7,4,2.2,0.8
8,1.9,2.4,1.5,2.5,1.4,1.3,2.9,1.8,4.1,1.9,0.8
9,1.3,2.3,1.5,2.2,1.3,1.3,2.8,1.8,4.1,2.1,0.7
10,2.1,2.2,1.7,2.4,1,1.5,2.9,1.8,4.1,2.1,0.7
11,2.2,2,1.6,2.4,1.3,1.3,3,1.9,4.1,2.4,0.7
12,2.5,2.1,1.6,2.4,1.8,1.3,2.9,1.7,3.8,2.4,0.7
13,1.8,2.2,1.5,2.4,1.6,1.2,3.2,1.7,3.8,2.4,0.7
14,2.5,2.4,1.5,2.4,1.8,1.3,3.2,1.7,4,2.2,0.8
15,2.8,2.5,1.6,2.3,1.5,1.5,3.1,1.8,3.9,1.9,0.8
16,2.2,1.9,1.5,2.3,1.6,1.4,3.3,1.7,4.1,1.7,0.8
17,2.4,2.1,1.6,2.5,1.8,1.5,3,1.7,4.1,1.9,0.8
18,2.9,2.2,1.6,2.4,1.6,1.4,2.7,1.6,3.8,1.9,0.8
19,2.8,2.2,1.7,2.3,1.8,1.4,3.1,1.7,4.3,2,0.7
20,2.6,2.2,1.7,2.4,1.6,1.3,3.1,1.8,4.3,2.8,0.8
21,3,2.4,1.6,2.5,1.6,1.1,3.3,1.9,4.4,2.1,0.8
22,3.1,2.3,1.6,2.6,1.8,1.3,3.1,2.1,4.3,2.1,0.8
23,2.8,2.5,1.7,2.6,1.8,1.4,3.1,1.9,4.2,1.7,0.9
24,2.9,2.7,1.8,2.6,1.7,1.5,3,1.9,4.4,2,0.8
25,2.8,2.5,1.7,2.7,1.6,1.6,2.9,2,4.5,2.2,0.8
26,3,2.2,1.6,2.8,1.6,1.5,2.9,1.8,4.6,2.5,0.8
27,2.6,2.3,1.6,2.7,1.5,1.2,3.1,2,4.4,2.3,0.8
28,2.5,2.4,1.7,2.6,1.9,1.3,3,2,4.3,2.6,0.8
29,2.8,2.4,1.5,2.6,1.5,1.5,3,2,4.2,1.8,0.8
30,2.3,2.6,1.7,2.5,2,1.2,3.1,2,4.6,2.4,0.9
31,2.7,2.7,1.6,2.7,1.7,1.2,3.1,2,4.7,2.1,0.8
32,2.9,2,1.7,2.7,1.7,1.2,3.3,2,4.5,2.2,0.8
33,2.4,1.9,1.8,2.7,1.9,1.5,3.1,1.9,4.6,2.4,0.8
34,1.9,2.2,1.6,2.8,1.8,1.5,3,1.7,4.6,2.5,0.9
35,1.8,2.5,1.6,2.7,1.5,1.5,3,1.8,4.8,2.2,0.9
36,1.9,2.3,1.5,2.8,1.3,1.5,3.2,2,4.8,2.6,0.8
37,1.9,2.3,1.6,2.8,1.6,1.6,3,2,4.9,1.9,0.8
38,1.5,2.4,1.7,2.7,1.4,1.5,3,1.8,4.4,2.1,0.8
39,1.7,2.4,1.6,2.3,1.6,1.5,2.9,1.9,4.6,3,0.8
40,2,2.2,1.5,2.9,1.5,1.8,2.9,1.8,4.4,2.2,0.8
41,1.8,2.2,1.6,2.6,1.4,1.5,3,2,4.5,2.4,0.8
42,2,2.1,1.5,3,1.2,1.5,3.2,2,4.4,1.6,0.8
43,1.9,2,1.5,2.8,1.8,1.5,2.9,2,4.1,2.1,0.8
44,1.3,1.8,1.2,2.2,1.5,1.2,2.7,1.9,3.2,1,1
45,0.9,1.4,1,1.8,1.5,0.8,2.3,1.8,3.6,1,0.8
46,1.1,1.4,1.2,2,2,1,2.2,1.5,3.5,0.7,0.9
47,1.4,1.9,1.7,2.4,1.2,1.1,2.1,1.9,3.6,1.8,0.9
48,1.7,2,1.6,2.9,1.4,1.1,2.9,2.1,4,2.3,1.1
49,1.1,1.3,1.9,2.7,1.4,1.5,2.7,1.9,3.9,1.1,1
50,1.3,2,2.1,2.7,1.3,1.3,3.3,2,4.5,2.1,0.9
51,1.4,1.8,1.9,2.8,1.5,1.5,3,2.2,4.4,2,1.1
52,2,2.2,1.9,2.8,1.5,1.4,2.9,1.9,4.6,2.3,0.9
53,1.6,2.2,2,3,1.5,1.2,2.8,2,5.2,2.1,0.9
54,1.3,1.9,2.1,2.8,1.4,1.7,2.8,2,4.9,2.1,0.8
55,2.1,2.3,2.1,2.8,1.5,1.5,2.9,2,4.6,2.4,0.9
56,1.5,2.7,2.1,2.9,2.1,1.4,2.9,2.2,5.1,2.3,0.8
57,1.9,2.4,2.3,3.5,1.9,1.6,3.7,2.4,5.3,2.3,0.8
58,1.7,2.1,2,3.1,1.6,1.4,3,2.2,5.3,2.6,0.7
59,1.9,2.5,2.5,3.3,1.8,1.4,3.3,2.3,5.2,2.3,0.7
60,1.5,2.7,2.4,3.5,1.8,1.5,3.3,2.5,5.3,2.5,0.7
61,1.6,2.7,2.5,3.7,1.6,1.3,3.4,2.4,6.4,2.4,0.8
