ShorState,State,2019_Quits,2020_Quits,Quits_1yr_chg%,2019_Un_Male,2019_Un_Female,2020_Un_Male,2020_Un_Female,2019_Empl_Male,2019_Empl_Female,2020_Empl_Male,2020_Empl_Female,Un_1 yr_Chg%,Emply_1 yr_Chg%
AL,Alabama,607,566,-6.8,68846,63830,65000,68000,1088059,1002055,1098000,1001000,0.244203925,0.425144274
AK,Alaska,154,106,-31.2,16149,11059,15000,11000,186357,159806,166000,151000,-4.439870626,-8.424643882
AZ,Arizona,971,804,-17.2,103746,91058,"133,000",144000,1665764,1461158,1771000,1536000,42.19420546,5.758954013
AR,Arkansas,421,373,-11.4,37914,33060,42000,43000,681384,622551,672000,601000,19.76216643,-2.372434209
CA,California,4374,3495,-20.1,632557,557880,982000,938000,10049251,8541270,9305000,7583000,61.28530951,-9.158005846
CO,Colorado,888,737,-17,73376,58742,119000,111000,1556806,1347470,1588000,1310000,74.08680119,-0.216095165
CT,Connecticut,335,317,-5.4,61719,54608,81000,64000,931820,882654,901000,822000,24.64861984,-5.041350827
DE,Delaware,157,135,-14,12939,12437,21000,17000,230517,222402,233000,214000,49.74779319,-1.306856193
DC,District of Columbia,164,149,-9.1,13465,14369,14000,18000,180626,194805,183000,191000,14.96730617,-0.381161918
FL,Florida,2626,2477,-5.7,290609,272024,406000,394000,4945939,4542082,4954000,4317000,42.18860252,-2.287315764
GA,Georgia,1444,1401,-3,143070,147916,153000,177000,2494100,2329366,2427000,2289000,13.40751789,-2.227982948
HI,Hawaii,195,159,-18.5,15332,13334,40000,36000,349279,329163,296000,275000,165.1224447,-15.83657851
ID,Idaho,274,224,-18.2,20718,15318,24000,22000,427575,363109,472000,377000,27.65012765,7.375386374
IL,Illinois,1522,1490,-2.1,211522,180518,280000,289000,3261434,2989368,2981000,2696000,45.1382512,-9.179654067
IN,Indiana,1035,860,-16.9,85368,77813,119000,118000,1680555,1513647,1649000,1451000,45.23749701,-2.949156002
IA,Iowa,415,366,-11.8,35282,27988,48000,42000,843865,767896,833000,737000,42.24751067,-2.591016906
KS,Kansas,412,332,-19.4,34858,28202,46000,40000,760229,676926,746000,671000,36.37805265,-1.402423538
KY,Kentucky,590,583,-1.2,62842,51194,77000,58000,1028254,947394,1003000,877000,18.38366832,-4.841348256
LA,Louisiana,702,568,-19.1,78079,62405,94000,80000,1038191,992853,990000,917000,23.85752114,-6.107400923
ME,Maine,152,138,-9.2,17186,11772,19000,18000,337712,329716,331000,312000,27.77125492,-3.660020257
MD,Maryland,769,591,-23.1,83856,81779,105000,107000,1559720,1512332,1510000,1456000,27.99227216,-3.452155107
MA,Massachusetts,741,625,-15.7,99717,81888,167000,175000,1829055,1775524,1717000,1605000,88.32080615,-7.839445328
MI,Michigan,1285,1147,-10.7,162188,127342,251000,223000,2421088,2229914,2285000,2092000,63.71360481,-5.89124666
MN,Minnesota,709,558,-21.3,66277,45629,99000,84000,1535720,1420752,1504000,1391000,63.53010562,-2.07923498
MS,Mississippi,375,352,-6.1,48322,49796,52000,50000,630329,602513,592000,561000,3.956460588,-6.476255676
MO,Missouri,816,825,1.1,74742,64074,83000,103000,1504856,1407814,1477000,1375000,33.99031812,-2.082968548
MT,Montana,180,142,-21.1,12324,8988,16000,15000,270712,242533,271000,237000,45.45795796,-1.021929098
NE,Nebraska,293,268,-8.5,18334,16134,25000,20000,527136,470900,528000,468000,30.55587792,-0.204000657
NV,Nevada,456,422,-7.5,50421,42500,107000,93000,753635,647750,726000,610000,115.2365988,-4.665741392
NH,New Hampshire,161,136,-15.5,15719,12135,26000,24000,379866,348439,371000,333000,79.50743161,-3.337200761
NJ,New Jersey,983,944,-4,133928,116950,206000,227000,2324969,2101860,2196000,1881000,72.5938504,-7.902473757
NM,New Mexico,291,213,-26.8,35560,25962,45000,35000,464361,423901,455000,394000,30.0347843,-4.42009227
NY,New York,1786,1566,-12.3,294544,251196,490000,428000,4874417,4611263,4361000,3988000,68.21196907,-11.9831156
NC,North Carolina,1636,1246,-23.8,137646,141841,175000,179000,2455769,2307806,2420000,2203000,26.6606318,-2.951039923
ND,North Dakota,146,123,-15.8,5443,5580,12000,8000,218511,184621,205000,178000,81.43880976,-4.99389778
OH,Ohio,1618,1381,-14.6,169822,144835,262000,215000,2902001,2695015,2724000,2523000,51.59364006,-6.253617999
OK,Oklahoma,599,469,-21.7,51050,44122,57000,57000,945415,827118,954000,783000,19.78312949,-2.00464533
OR,Oregon,655,481,-26.6,62658,50809,84000,81000,1040635,938024,1038000,914000,45.41672909,-1.347326649
PA,Pennsylvania,1339,1133,-15.4,192789,156809,292000,284000,3202329,2974849,3026000,2783000,64.76066797,-5.96029449
RI,Rhode Island,121,103,-14.9,17882,12985,26000,25000,271555,261078,261000,235000,65.22499757,-6.877718805
SC,South Carolina,755,678,-10.2,72442,67950,66000,82000,1163128,1107515,1153000,1083000,5.4191122,-1.525691181
SD,South Dakota,128,107,-16.4,10316,6687,10000,11000,233540,209350,239000,208000,23.5076163,0.927995665
TN,Tennessee,959,919,-4.2,88348,86775,139000,114000,1618276,1486141,1601000,1439000,44.46988688,-2.075011186
TX,Texas,4091,3606,-11.9,375486,328829,558000,497000,7200456,6048118,7132000,5813000,49.79093161,-2.291371132
UT,Utah,563,406,-27.9,30453,24799,42000,37000,831571,664745,863000,686000,42.98124955,3.520914032
VT,Vermont,82,65,-20.7,7196,5183,11000,8000,167322,163426,159000,154000,53.48574198,-5.366018842
VA,Virginia,1120,934,-16.6,102249,96923,129000,146000,2144210,2009655,2153000,1956000,38.07161649,-1.080078433
WA,Washington,882,733,-16.9,102290,85388,181000,146000,1931319,1664313,1922000,1673000,74.23459329,-0.017576882
WV,West Virginia,249,212,-14.9,30899,21636,36000,28000,391235,351116,382000,346000,21.82354621,-1.933182551
WI,Wisconsin,807,664,-17.7,62712,48538,98000,99000,1549350,1435870,1521000,1357000,77.07865169,-3.591695084
WY,Wyoming,118,84,-28.8,8690,5530,11000,7000,156545,130453,150000,129000,26.58227848,-2.786779002
